id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
3,20,16.3,1.0,1.5,89.0,576.0,0.027000000000000003,76.0,33.0,49.0
6,13,20.1,0.0,1.4,48.0,916.0,0.042,73.0,40.0,159.0
7,6,13.9,0.0,0.7,79.0,1382.0,0.033,32.0,19.0,26.0
8,23,8.1,0.0,2.7,54.0,946.0,0.04,75.0,64.0,57.0
9,18,29.5,0.0,4.8,7.0,2000.0,0.057,27.0,11.0,431.0
13,2,13.6,0.0,1.7,80.0,1073.0,0.027000000000000003,34.0,15.0,39.0
14,3,10.6,0.0,1.5,58.0,1548.0,0.038,62.0,33.0,23.0
16,21,16.0,0.0,6.0,21.0,1961.0,0.05,90.0,28.0,146.0
19,9,13.8,0.0,1.9,64.0,1344.0,0.039,93.0,19.0,39.0
20,14,17.2,0.0,2.1,32.0,1571.0,0.025,64.0,19.0,83.0
21,4,5.7,0.0,0.6,77.0,1960.0,0.028,14.0,18.0,6.0
22,10,15.4,0.0,2.7,62.0,1362.0,0.039,99.0,21.0,42.0
24,9,14.1,0.0,3.2,59.0,1808.0,0.028,52.0,18.0,59.0
27,10,9.2,0.0,1.9,55.0,462.0,0.023,91.0,84.0,60.0
28,1,20.0,0.0,1.8,58.0,2000.0,,,,74.0
29,13,14.0,1.0,2.8,42.0,1518.0,0.03,49.0,37.0,5.0
30,21,18.8,0.0,2.2,34.0,2000.0,0.04,32.0,14.0,217.0
32,17,11.5,1.0,3.0,91.0,555.0,0.036000000000000004,29.0,21.0,64.0
33,13,22.6,0.0,,41.0,987.0,0.046,64.0,39.0,208.0
34,18,18.0,1.0,1.9,82.0,685.0,0.044,99.0,42.0,15.0
35,10,15.4,0.0,3.1,19.0,1225.0,0.032,199.0,18.0,58.0
36,8,12.6,0.0,5.3,53.0,1576.0,0.014,52.0,40.0,209.0
37,16,19.4,0.0,5.9,21.0,2000.0,0.052000000000000005,52.0,14.0,122.0
38,23,15.4,0.0,1.4,87.0,423.0,0.019,85.0,35.0,87.0
44,3,17.2,0.0,1.6,59.0,1277.0,0.052000000000000005,49.0,32.0,30.0
