index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,1,0,0,0,,2.0,-6.0,1.0
1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,1,0,0,1,Laborers,3.0,-5.0,1.0
2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,Managers,2.0,-22.0,2.0
3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,1,0,1,0,Sales staff,2.0,-37.0,0.0
4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-15037,-2105,1,0,0,0,Managers,2.0,-26.0,2.0
5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,1,0,0,1,High skill tech staff,4.0,-18.0,1.0
6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,1,0,0,1,Core staff,1.0,-41.0,2.0
7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,1,0,0,1,Drivers,2.0,-53.0,0.0
8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,1,0,0,1,,3.0,-38.0,2.0
9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,1,0,0,0,Medicine staff,2.0,-5.0,2.0
10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,1,Laborers,1.0,-40.0,2.0
11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-11759,-91,1,0,0,0,Managers,3.0,-51.0,2.0
12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,1,0,0,0,Accountants,3.0,-60.0,0.0
13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,Sales staff,2.0,-41.0,2.0
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,365243,1,0,1,0,,1.0,-41.0,2.0
15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4.0,-60.0,0.0
16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,1,0,1,0,Laborers,2.0,-2.0,1.0
17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,1,0,0,1,Sales staff,2.0,-14.0,2.0
18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,365243,1,0,0,0,,2.0,-37.0,2.0
19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,1,0,0,0,,2.0,-7.0,2.0
20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-1753,1,0,1,0,,2.0,-35.0,2.0
21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,365243,1,0,1,0,,2.0,-7.0,2.0
22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,1,0,0,0,Laborers,2.0,-22.0,0.0
23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,1,,2.0,-18.0,2.0
24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22361,365243,1,0,1,0,,1.0,-5.0,2.0
25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14058,-3694,1,0,0,0,Realty agents,3.0,-4.0,2.0
26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-17843,-3353,1,1,0,0,Laborers,3.0,-13.0,2.0
27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,1,0,0,0,,2.0,-57.0,2.0
28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-22111,-2325,1,1,1,0,Drivers,2.0,-47.0,2.0
29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,1,0,1,0,Sales staff,2.0,-22.0,0.0
30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13188,-227,1,0,0,0,Managers,2.0,-33.0,2.0
31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-11762,-3452,1,1,0,1,Laborers,2.0,-18.0,0.0
32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,1,0,0,0,Laborers,2.0,-2.0,0.0
33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,1,0,1,0,High skill tech staff,2.0,-30.0,2.0
34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14488,-1630,1,0,1,0,Laborers,3.0,-22.0,0.0
35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,-14438,-2433,1,0,0,0,Managers,2.0,-20.0,2.0
36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-20200,-1022,1,1,1,0,Accountants,1.0,-14.0,2.0
37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653,-1646,1,0,0,0,Drivers,2.0,-8.0,2.0
38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13582,-3472,1,0,0,0,Sales staff,2.0,-41.0,2.0
39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13022,-1600,1,0,0,0,Laborers,4.0,-39.0,2.0
40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,-21700,-2426,1,0,0,0,Laborers,2.0,-21.0,1.0
41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752,-433,1,0,1,0,Accountants,4.0,-19.0,2.0
42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,1,0,0,Managers,3.0,-35.0,0.0
