id,name,age,continent,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
0,L. Messi,31,south america,2021,ST,left,5.0,94,94,4.0,110500000.0
3,De Gea,27,europe,2020,GK,right,4.0,91,93,1.0,72000000.0
7,L. Suárez,31,south america,2021,ST,right,5.0,91,91,3.0,80000000.0
8,Sergio Ramos,32,europe,2020,DF,right,4.0,91,91,3.0,51000000.0
9,J. Oblak,25,europe,2021,GK,right,3.0,90,93,1.0,68000000.0
12,D. Godín,32,south america,2019,DF,right,3.0,90,90,2.0,44000000.0
13,David Silva,32,europe,2020,MF,left,4.0,90,90,4.0,60000000.0
14,N. Kanté,27,europe,2023,MF,right,3.0,89,90,2.0,63000000.0
18,M. ter Stegen,26,europe,2022,GK,right,3.0,89,92,1.0,58000000.0
19,T. Courtois,26,europe,2024,GK,left,4.0,89,90,1.0,53500000.0
20,Sergio Busquets,29,europe,2023,MF,right,4.0,89,89,3.0,51500000.0
21,E. Cavani,31,south america,2020,ST,right,4.0,89,89,3.0,60000000.0
22,M. Neuer,32,europe,2021,GK,right,5.0,89,89,1.0,38000000.0
24,G. Chiellini,33,europe,2020,DF,left,4.0,89,89,2.0,27000000.0
26,M. Salah,26,africa,2023,MF,left,3.0,88,89,4.0,69500000.0
27,Casemiro,26,south america,2021,MF,right,3.0,88,90,2.0,59500000.0
29,L. Insigne,27,europe,2022,ST,right,3.0,88,88,4.0,62000000.0
30,Isco,26,europe,2022,ST,right,3.0,88,91,4.0,73500000.0
32,Coutinho,26,south america,2023,ST,right,3.0,88,89,5.0,69500000.0
33,P. Aubameyang,29,africa,2021,MF,right,3.0,88,88,4.0,59000000.0
34,M. Hummels,29,europe,2021,DF,right,4.0,88,88,3.0,46000000.0
37,H. Lloris,31,europe,2022,GK,left,4.0,88,88,1.0,36000000.0
38,G. Higuaín,30,south america,"Jun 30, 2019",ST,right,4.0,88,88,3.0,57000000.0
41,G. Buffon,40,europe,2019,GK,right,4.0,88,88,1.0,4000000.0
42,S. Umtiti,24,europe,2023,DF,left,3.0,87,92,2.0,57000000.0
44,K. Koulibaly,27,africa,2021,DF,right,3.0,87,90,2.0,51000000.0
45,P. Pogba,25,europe,2021,MF,right,4.0,87,91,5.0,64000000.0
47,R. Lukaku,25,europe,2022,ST,left,3.0,87,89,3.0,62500000.0
49,Jordi Alba,29,europe,2020,DF,left,3.0,87,87,3.0,38000000.0
50,D. Mertens,31,europe,2020,ST,right,3.0,87,87,4.0,45000000.0
52,M. Hamšík,30,europe,2020,MF,right,3.0,87,87,3.0,46500000.0
53,I. Rakitić,30,europe,2021,MF,right,4.0,87,87,3.0,46500000.0
54,Piqué,31,europe,2022,DF,right,4.0,87,87,2.0,34000000.0
58,S. Mané,26,africa,2023,MF,right,3.0,86,87,4.0,52000000.0
59,V. van Dijk,26,europe,2023,DF,right,3.0,86,88,2.0,44500000.0
63,M. Verratti,25,europe,2021,MF,right,3.0,86,89,4.0,55000000.0
64,Alex Sandro,27,south america,2020,DF,left,3.0,86,86,3.0,36500000.0
65,Douglas Costa,27,south america,2022,MF,left,3.0,86,86,5.0,46500000.0
66,T. Müller,28,europe,2021,MF,right,4.0,86,86,3.0,45000000.0
67,Thiago,27,europe,2021,MF,right,3.0,86,86,5.0,45500000.0
68,M. Reus,29,europe,2023,MF,right,4.0,86,86,4.0,43500000.0
73,M. Benatia,31,africa,2020,DF,right,3.0,86,86,2.0,30000000.0
75,Fernandinho,33,south america,2020,MF,right,3.0,86,86,3.0,18000000.0
76,Iniesta,34,europe,2021,ST,right,4.0,86,86,4.0,21500000.0
77,M. Škriniar,23,europe,2022,DF,right,1.0,85,92,2.0,46500000.0
78,S. Milinković-Savić,23,europe,2023,MF,right,2.0,85,90,4.0,50500000.0
79,Marco Asensio,22,europe,2023,ST,left,3.0,85,92,4.0,54000000.0
81,Alisson,25,south america,2024,GK,right,3.0,85,90,1.0,36500000.0
83,Saúl,23,europe,2026,MF,left,3.0,85,90,3.0,50500000.0
86,Koke,26,europe,2019,MF,right,3.0,85,86,3.0,45000000.0
87,A. Lacazette,27,europe,2022,ST,right,3.0,85,86,4.0,45000000.0
89,N. Otamendi,30,south america,2022,DF,right,3.0,85,85,2.0,28500000.0
92,W. Szczęsny,28,europe,2021,GK,right,3.0,85,87,1.0,32000000.0
93,A. Sánchez,29,south america,2022,ST,right,4.0,85,85,4.0,37500000.0
94,Y. Brahimi,28,africa,2019,MF,right,3.0,85,85,4.0,39000000.0
96,A. Vidal,31,south america,2021,MF,right,4.0,85,85,3.0,26000000.0
97,I. Perišić,29,europe,2022,MF,right,3.0,85,85,4.0,37500000.0
99,S. Khedira,31,europe,2021,MF,right,3.0,85,85,2.0,33000000.0
100,Diego Costa,29,europe,2021,ST,right,4.0,85,85,2.0,38500000.0
102,Naldo,35,south america,2020,DF,right,3.0,85,85,2.0,9000000.0
103,B. Matuidi,31,europe,2020,MF,left,3.0,85,85,2.0,26000000.0
105,K. Benzema,30,europe,2021,ST,right,4.0,85,85,4.0,37000000.0
106,Filipe Luís,32,south america,2019,DF,left,3.0,85,85,3.0,21500000.0
