title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
개들의 전쟁,롯데엔터테인먼트,액션,2012-11-22,96,청소년 관람불가,조병옥,,0,91,2,23398
내부자들,(주)쇼박스,느와르,2015-11-19,130,청소년 관람불가,우민호,1161602.5,2,387,3,7072501
은밀하게 위대하게,(주)쇼박스,액션,2013-06-05,123,15세 관람가,장철수,220775.25,4,343,4,6959083
나는 공무원이다,(주)NEW,코미디,2012-07-12,101,전체 관람가,구자홍,23894.0,2,20,6,217866
불량남녀,쇼박스(주)미디어플렉스,코미디,2010-11-04,108,15세 관람가,신근호,1.0,1,251,2,483387
강철대오 : 구국의 철가방,롯데엔터테인먼트,코미디,2012-10-25,113,15세 관람가,육상효,837969.0,2,262,4,233211
길위에서,백두대간,다큐멘터리,2013-05-23,104,전체 관람가,이창재,,0,32,5,53526
회사원,(주)쇼박스,액션,2012-10-11,96,청소년 관람불가,임상윤,739522.0,3,342,2,1110523
"1789, 바스티유의 연인들",유니버설픽쳐스인터내셔널코리아,뮤지컬,2014-09-18,129,전체 관람가,정성복,,0,3,5,4778
청춘그루브,(주)두타연,드라마,2012-03-15,94,15세 관람가,변성현,,0,138,3,868
AV 아이돌,(주) 케이알씨지,멜로/로맨스,2015-07-27,89,청소년 관람불가,조조 히데오,,0,0,4,745
무서운 집,(주)콘텐츠 윙,공포,2015-07-30,98,12세 관람가,양병간,,0,0,1,1079
해로,(주)키노아이,드라마,2012-03-22,113,12세 관람가,최종태,431231.0,1,14,2,5851
짓,(주)팝 파트너스,서스펜스,2013-09-25,107,청소년 관람불가,한종훈,534232.5,2,15,4,23052
철가방 우수氏,CJ E&M 영화부문,드라마,2012-11-22,100,12세 관람가,윤학렬,,0,152,1,92404
자유의 언덕,(주) 영화제작전원사,드라마,2014-09-04,67,청소년 관람불가,홍상수,,0,52,3,39317
써니,CJ E&M Pictures,코미디,2011-05-04,124,15세 관람가,강형철,8223342.0,1,572,11,7453715
별이 빛나는 밤,CGV 무비꼴라쥬,드라마,2012-04-05,98,전체 관람가,린슈유,773.0,1,8,4,5693
카트,리틀빅픽처스,드라마,2014-11-13,104,12세 관람가,부지영,,0,359,4,814570
하하하,스폰지,드라마,2010-05-05,115,청소년 관람불가,홍상수,,0,74,9,57029
두근두근 내 인생,CJ 엔터테인먼트,드라마,2014-09-03,117,12세 관람가,이재용,495068.5,2,466,3,1624573
성실한 나라의 앨리스,CGV아트하우스,드라마,2015-08-13,90,청소년 관람불가,안국진,,0,228,1,44074
원령,조이앤시네마,공포,2015-08-13,91,15세 관람가,동지견,,0,0,1,914
관능의 법칙,롯데엔터테인먼트,드라마,2014-02-13,108,청소년 관람불가,권칠인,75740.0,1,288,3,781516
"안녕, 투이",인디플러그,드라마,2014-11-27,106,청소년 관람불가,김재한,,0,153,3,1176
영도,콘텐츠판다,드라마,2015-09-10,116,청소년 관람불가,손승웅,,0,183,3,3094
이웃집 좀비,인디스토리,공포,2010-02-18,89,15세 관람가,류훈,,0,40,10,2807
러브앤서울 복숭아마을 도색소동기,(주) 케이알씨지,멜로/로맨스,2015-07-27,89,청소년 관람불가,조조 히데오,,0,0,4,745
무법자,(주)NEW,느와르,2010-03-18,93,청소년 관람불가,김철한,,0,250,3,160734
일탈여행 : 프라이빗 아일랜드,(주)팝엔터테인먼트,드라마,2013-08-29,90,청소년 관람불가,한상희,,0,29,3,3460
로맨틱 헤븐,시네마서비스,드라마,2011-03-24,117,12세 관람가,장진,,0,369,7,73729
겨울나비,웃기씨네,드라마,2011-07-07,90,15세 관람가,김규민,,0,71,2,521
다이노 타임,CJ 엔터테인먼트,애니메이션,2015-04-30,85,전체 관람가,최윤석,,0,10,8,285084
물 없는 바다,인디스토리,멜로/로맨스,2011-12-08,88,15세 관람가,김관철,,0,9,2,390
오싹한 연애,CJ 엔터테인먼트,멜로/로맨스,2011-12-01,114,12세 관람가,황인호,683213.333333333,3,324,2,3009406
마이 페어 웨딩,영화사 진진,다큐멘터리,2015-06-04,94,12세 관람가,장희선,,0,2,2,4586
원나잇 온리,(주)레인보우 팩토리,드라마,2014-07-03,67,청소년 관람불가,김조광수,,0,1,5,2923
일대일,김기덕 필름,드라마,2014-05-22,122,청소년 관람불가,김기덕,,0,135,2,10142
하늘의 황금마차,영화사 진진,드라마,2014-09-04,84,12세 관람가,오멸,,0,96,5,2703
러브픽션,NEW,멜로/로맨스,2012-02-29,121,15세 관람가,전계수,8052.5,2,315,2,1726227
불타는 내 마음,CJ CGV,멜로/로맨스,2010-03-25,95,15세 관람가,최원섭,,0,95,2,9089
끝과 시작,롯데엔터테인먼트,멜로/로맨스,2013-04-04,87,청소년 관람불가,민규동,4598985.0,1,182,3,38809
